security_id,relative_path,security_type_asof_hint,security_identity_status,first_observed_bar_date,last_observed_bar_date,bar_count,file_valid,membership_basis,historical_lifecycle_status,missing_bar_semantics
BJ.430017,bj/lday/bj430017.day,A_STOCK,VALID_TDX_FILENAME,20230531,20250930,570,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430047,bj/lday/bj430047.day,A_STOCK,VALID_TDX_FILENAME,20201124,20250930,1180,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430090,bj/lday/bj430090.day,A_STOCK,VALID_TDX_FILENAME,20210809,20250930,1002,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430139,bj/lday/bj430139.day,A_STOCK,VALID_TDX_FILENAME,20221028,20250930,713,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430198,bj/lday/bj430198.day,A_STOCK,VALID_TDX_FILENAME,20200727,20250930,1255,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430300,bj/lday/bj430300.day,A_STOCK,VALID_TDX_FILENAME,20221207,20250930,685,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430418,bj/lday/bj430418.day,A_STOCK,VALID_TDX_FILENAME,20200727,20250930,1260,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430425,bj/lday/bj430425.day,A_STOCK,VALID_TDX_FILENAME,20230130,20250930,653,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430476,bj/lday/bj430476.day,A_STOCK,VALID_TDX_FILENAME,20221014,20250930,723,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430478,bj/lday/bj430478.day,A_STOCK,VALID_TDX_FILENAME,20230223,20250930,635,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
BJ.430489,bj/lday/bj430489.day,A_STOCK,VALID_TDX_FILENAME,20200727,20250430,1155,True,DIAGNOSTIC_NON_PIT,UNKNOWN_UNLESS_SUPPORTED_BY_VERSIONED_FACT,UNKNOWN_NOT_SUSPENSION_OR_DELISTING
